* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = Yes
* Calibration Background performed on = 04-20-2016
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 04-21-2016
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 04-20-2016
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 04-21-2016
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 04-21-2016
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 04-20-2016
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 04-20-2016
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 04-21-2016
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 04-20-2016
* Calibration ROI is expired  = Yes
* Calibration ROI performed on = 04-20-2016
* Calibration Uniformity is expired  = Yes
* Calibration Uniformity performed on = 04-20-2016
* Chemistry = TAQMAN
* Date Created = 2017-01-01 23:16:35 PM EST
* Experiment Barcode = 
* Experiment Comment = NA
* Experiment File Name = \\vmware-host\Shared Folders\Desktop\mix_qpcr_data\Nate_QDNA_P1_20161208.eds
* Experiment Name = Nate_QDNA_P1_20161208
* Experiment Run End Time = 2016-12-08 13:49:44 PM EST
* Experiment Type = Standard Curve
* Instrument Name =       272310160
* Instrument Serial Number = 272310160
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = 
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step3
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	HIGHSD	OUTLIERRG	CQCONF
1	A1	false		Target 1	STANDARD	SYBR	None	14.254	14.187	0.095	20.000			19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	7	Inconclusive		0.990	N	N	N
2	A2	false		Target 1	STANDARD	SYBR	None	14.119	14.187	0.095	20.000			19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	7	Inconclusive		0.989	N	N	N
3	A3	false		Target 1	UNKNOWN	SYBR	None	16.650	18.419	5.254	4.848	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	8	Inconclusive		0.992	Y	N	N
4	A4	false		Target 1	UNKNOWN	SYBR	None	15.729	18.419	5.254	8.497	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	7	Inconclusive		0.992	Y	N	N
5	A5	false		Target 1	UNKNOWN	SYBR	None	17.501	18.419	5.254	2.887	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	8	Inconclusive		0.990	Y	N	N
6	A6	false		Target 1	UNKNOWN	SYBR	None	15.467	18.419	5.254	9.965	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	7	Inconclusive		0.991	Y	N	N
7	A7	false		Target 1	UNKNOWN	SYBR	None	19.076	18.419	5.254	1.106	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	9	Inconclusive		0.988	Y	N	N
8	A8	false		Target 1	UNKNOWN	SYBR	None	36.681	18.419	5.254	0.000	6.174	10.334	19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	26	Amp		0.986	Y	N	N
13	B1	false		Target 1	STANDARD	SYBR	None	18.655	18.140	0.728	2.000			19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	9	Inconclusive		0.992	Y	N	N
14	B2	false		Target 1	STANDARD	SYBR	None	17.625	18.140	0.728	2.000			19.242	0.985	-3.781	83.863	true	1,994,575.500	true	3	8	Inconclusive		0.992	Y	N	N
